"Id","Type","KOfam","COG_CATEGORY"
"MG_K01733","KO_coverage","threonine synthase [EC:4.2.3.1]","Amino acid transport and metabolism"
"MG_K02069","KO_coverage","UDP-glucose/iron transport system permease protein","Inorganic ion transport and metabolism"
"MG_K02072","KO_coverage","D-methionine transport system permease protein","Amino acid transport and metabolism"
"MG_K02160","KO_coverage","acetyl-CoA carboxylase biotin carboxyl carrier protein","Lipid transport and metabolism"
"MG_K02348","KO_coverage","ElaA protein","General function prediction only"
"MG_K02851","KO_coverage","UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]","Cell wall/membrane/envelope biogenesis"
"MG_K03086","KO_coverage","RNA polymerase primary sigma factor","Transcription"
"MG_K03216","KO_coverage","tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207]","Translation, ribosomal structure and biogenesis"
"MG_K03322","KO_coverage","manganese transport protein","Inorganic ion transport and metabolism"
"MG_K03449","KO_coverage","MFS transporter, CP family, cyanate transporter","Inorganic ion transport and metabolism"
"MG_K03530","KO_coverage","DNA-binding protein HU-beta","Replication, recombination and repair"
"MG_K03666","KO_coverage","host factor-I protein","Signal transduction mechanisms"
"MG_K03742","KO_coverage","nicotinamide-nucleotide amidase [EC:3.5.1.42]","Replication, recombination and repair"
"MG_K03744","KO_coverage","LemA protein","Cell wall/membrane/envelope biogenesis"
"MG_K03752","KO_coverage","molybdenum cofactor guanylyltransferase [EC:2.7.7.77]","Coenzyme transport and metabolism"
"MG_K03790","KO_coverage","[ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]","Translation, ribosomal structure and biogenesis"
"MG_K03975","KO_coverage","membrane-associated protein","Cell wall/membrane/envelope biogenesis"
"MG_K03976","KO_coverage","Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase [EC:3.1.1.-]","Translation, ribosomal structure and biogenesis"
"MG_K04068","KO_coverage","anaerobic ribonucleoside-triphosphate reductase activating protein [EC:1.97.1.4]","Coenzyme transport and metabolism"
"MG_K04751","KO_coverage","nitrogen regulatory protein P-II 1","Signal transduction mechanisms"
"MG_K05786","KO_coverage","chloramphenicol-sensitive protein RarD","General function prediction only"
"MG_K05808","KO_coverage","ribosome hibernation promoting factor","Translation, ribosomal structure and biogenesis"
"MG_K06217","KO_coverage","phosphate starvation-inducible protein PhoH and related proteins","Signal transduction mechanisms"
"MG_K06958","KO_coverage","RNase adapter protein RapZ","Signal transduction mechanisms"
"MG_K07025","KO_coverage","putative hydrolase of the HAD superfamily","Coenzyme transport and metabolism"
"MG_K07058","KO_coverage","membrane protein","Function unknown"
"MG_K07171","KO_coverage","mRNA interferase MazF [EC:3.1.-.-]","Defense mechanisms"
"MG_K07574","KO_coverage","RNA-binding protein","Translation, ribosomal structure and biogenesis"
"MG_K07636","KO_coverage","two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]","Signal transduction mechanisms"
"MG_K07738","KO_coverage","transcriptional repressor NrdR","Transcription"
"MG_K09861","KO_coverage","uncharacterized protein","Replication, recombination and repair"
"MG_K10806","KO_coverage","acyl-CoA thioesterase YciA [EC:3.1.2.-]","Lipid transport and metabolism"
"MG_K10947","KO_coverage","PadR family transcriptional regulator, regulatory protein PadR","Transcription"
"MG_K13256","KO_coverage","protein PsiE","General function prediction only"
"MG_K15580","KO_coverage","oligopeptide transport system substrate-binding protein","Amino acid transport and metabolism"
"MG_K15986","KO_coverage","manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1]","Energy production and conversion"
"MG_K16924","KO_coverage","energy-coupling factor transport system substrate-specific component","Coenzyme transport and metabolism"
"MG_K24119","KO_coverage","NADH-dependent peroxiredoxin subunit C [EC:1.11.1.26]","Defense mechanisms"
"MGYG000299534","MAG",NA,NA
"MGYG000307500","MAG",NA,NA
"MG_K00077","KO_coverage","2-dehydropantoate 2-reductase [EC:1.1.1.169]","Coenzyme transport and metabolism"
"MG_K00549","KO_coverage","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]","Amino acid transport and metabolism"
"MG_K01154","KO_coverage","type I restriction enzyme, S subunit [EC:3.1.21.3]","Defense mechanisms"
"MG_K01933","KO_coverage","phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]","Nucleotide transport and metabolism"
"MG_K01990","KO_coverage","ABC-2 type transport system ATP-binding protein","Defense mechanisms"
"MG_K07223","KO_coverage","porphyrinogen peroxidase [EC:1.11.1.-]","Inorganic ion transport and metabolism"
"MG_K00016","KO_coverage","L-lactate dehydrogenase [EC:1.1.1.27]","Energy production and conversion"
"MG_K00088","KO_coverage","IMP dehydrogenase [EC:1.1.1.205]","Nucleotide transport and metabolism"
"MG_K00859","KO_coverage","dephospho-CoA kinase [EC:2.7.1.24]","Coenzyme transport and metabolism"
"MG_K00971","KO_coverage","mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]","Carbohydrate transport and metabolism"
"MG_K01056","KO_coverage","peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]","Translation, ribosomal structure and biogenesis"
"MG_K01426","KO_coverage","amidase [EC:3.5.1.4]","Translation, ribosomal structure and biogenesis"
"MG_K01448","KO_coverage","N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]","Cell wall/membrane/envelope biogenesis"
"MG_K01868","KO_coverage","threonyl-tRNA synthetase [EC:6.1.1.3]","Translation, ribosomal structure and biogenesis"
"MG_K01883","KO_coverage","cysteinyl-tRNA synthetase [EC:6.1.1.16]","Translation, ribosomal structure and biogenesis"
"MG_K02238","KO_coverage","competence protein ComEC","Intracellular trafficking, secretion, and vesicular transport"
"MG_K02433","KO_coverage","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]","Translation, ribosomal structure and biogenesis"
"MG_K02836","KO_coverage","peptide chain release factor 2","Translation, ribosomal structure and biogenesis"
"MG_K02902","KO_coverage","large subunit ribosomal protein L28","Translation, ribosomal structure and biogenesis"
"MG_K02914","KO_coverage","large subunit ribosomal protein L34","Translation, ribosomal structure and biogenesis"
"MG_K03550","KO_coverage","holliday junction DNA helicase RuvA [EC:5.6.2.4]","Replication, recombination and repair"
"MG_K03551","KO_coverage","holliday junction DNA helicase RuvB [EC:5.6.2.4]","Replication, recombination and repair"
"MG_K03590","KO_coverage","cell division protein FtsA","Cell cycle control, cell division, chromosome partitioning"
"MG_K03650","KO_coverage","tRNA modification GTPase [EC:3.6.-.-]","Translation, ribosomal structure and biogenesis"
"MG_K09769","KO_coverage","2',3'-cyclic-nucleotide 2'-phosphodiesterase [EC:3.1.4.16]","Signal transduction mechanisms"
"MG_K00075","KO_coverage","UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]","Cell wall/membrane/envelope biogenesis"
"MG_K00091","KO_coverage","dihydroflavonol-4-reductase [EC:1.1.1.219]","Cell wall/membrane/envelope biogenesis"
"MG_K00208","KO_coverage","enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]","Lipid transport and metabolism"
"MG_K00526","KO_coverage","ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]","Nucleotide transport and metabolism"
"MG_K00558","KO_coverage","DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]","Replication, recombination and repair"
"MG_K00571","KO_coverage","site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]","Replication, recombination and repair"
"MG_K00609","KO_coverage","aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]","Nucleotide transport and metabolism"
"MG_K00620","KO_coverage","glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]","Amino acid transport and metabolism"
"MG_K00625","KO_coverage","phosphate acetyltransferase [EC:2.3.1.8]","Energy production and conversion"
"MG_K00648","KO_coverage","3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]","Lipid transport and metabolism"
"MG_K00677","KO_coverage","UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]","Cell wall/membrane/envelope biogenesis"
"MG_K00688","KO_coverage","glycogen phosphorylase [EC:2.4.1.1]","Carbohydrate transport and metabolism"
"MG_K00703","KO_coverage","starch synthase [EC:2.4.1.21]","Carbohydrate transport and metabolism"
"MG_K00705","KO_coverage","4-alpha-glucanotransferase [EC:2.4.1.25]","Carbohydrate transport and metabolism"
"MG_K00721","KO_coverage","dolichol-phosphate mannosyltransferase [EC:2.4.1.83]","Cell wall/membrane/envelope biogenesis"
"MG_K00762","KO_coverage","orotate phosphoribosyltransferase [EC:2.4.2.10]","Nucleotide transport and metabolism"
"MG_K00773","KO_coverage","queuine tRNA-ribosyltransferase [EC:2.4.2.29]","Translation, ribosomal structure and biogenesis"
"MG_K00784","KO_coverage","ribonuclease Z [EC:3.1.26.11]","Translation, ribosomal structure and biogenesis"
"MG_K00806","KO_coverage","undecaprenyl diphosphate synthase [EC:2.5.1.31]","Lipid transport and metabolism"
"MG_K00874","KO_coverage","2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]","Carbohydrate transport and metabolism"
"MG_K00876","KO_coverage","uridine kinase [EC:2.7.1.48]","Nucleotide transport and metabolism"
"MG_K00895","KO_coverage","diphosphate-dependent phosphofructokinase [EC:2.7.1.90]","Carbohydrate transport and metabolism"
"MG_K00946","KO_coverage","thiamine-monophosphate kinase [EC:2.7.4.16]","Coenzyme transport and metabolism"
"MG_K00962","KO_coverage","polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]","Translation, ribosomal structure and biogenesis"
"MG_K00975","KO_coverage","glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]","Carbohydrate transport and metabolism"
"MG_K00997","KO_coverage","holo-[acyl-carrier protein] synthase [EC:2.7.8.7]","Lipid transport and metabolism"
"MG_K01000","KO_coverage","phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]","Cell wall/membrane/envelope biogenesis"
"MG_K01091","KO_coverage","phosphoglycolate phosphatase [EC:3.1.3.18]","Energy production and conversion"
"MG_K01159","KO_coverage","crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10]","Replication, recombination and repair"
"MG_K01185","KO_coverage","lysozyme [EC:3.2.1.17]","Cell wall/membrane/envelope biogenesis"
"MG_K01195","KO_coverage","beta-glucuronidase [EC:3.2.1.31]","Carbohydrate transport and metabolism"
"MG_K01258","KO_coverage","tripeptide aminopeptidase [EC:3.4.11.4]","Amino acid transport and metabolism"
"MG_K01304","KO_coverage","pyroglutamyl-peptidase [EC:3.4.19.3]","Posttranslational modification, protein turnover, chaperones"
"MG_K01358","KO_coverage","ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]","Posttranslational modification, protein turnover, chaperones"
"MG_K01493","KO_coverage","dCMP deaminase [EC:3.5.4.12]","Nucleotide transport and metabolism"
"MG_K01520","KO_coverage","dUTP diphosphatase [EC:3.6.1.23]","Nucleotide transport and metabolism"
"MG_K01625","KO_coverage","2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]","Carbohydrate transport and metabolism"
"MG_K01686","KO_coverage","mannonate dehydratase [EC:4.2.1.8]","Carbohydrate transport and metabolism"
"MG_K01711","KO_coverage","GDPmannose 4,6-dehydratase [EC:4.2.1.47]","Cell wall/membrane/envelope biogenesis"
"MG_K01752","KO_coverage","L-serine dehydratase [EC:4.3.1.17]","Amino acid transport and metabolism"
"MG_K01756","KO_coverage","adenylosuccinate lyase [EC:4.3.2.2]","Nucleotide transport and metabolism"
"MG_K01775","KO_coverage","alanine racemase [EC:5.1.1.1]","Cell wall/membrane/envelope biogenesis"
"MG_K01776","KO_coverage","glutamate racemase [EC:5.1.1.3]","Cell wall/membrane/envelope biogenesis"
"MG_K01783","KO_coverage","ribulose-phosphate 3-epimerase [EC:5.1.3.1]","Carbohydrate transport and metabolism"
"MG_K01785","KO_coverage","aldose 1-epimerase [EC:5.1.3.3]","Carbohydrate transport and metabolism"
"MG_K01809","KO_coverage","mannose-6-phosphate isomerase [EC:5.3.1.8]","Carbohydrate transport and metabolism"
"MG_K01812","KO_coverage","glucuronate isomerase [EC:5.3.1.12]","Carbohydrate transport and metabolism"
"MG_K01835","KO_coverage","phosphoglucomutase [EC:5.4.2.2]","Carbohydrate transport and metabolism"
"MG_K01875","KO_coverage","seryl-tRNA synthetase [EC:6.1.1.11]","Translation, ribosomal structure and biogenesis"
"MG_K01878","KO_coverage","glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]","Translation, ribosomal structure and biogenesis"
"MG_K01879","KO_coverage","glycyl-tRNA synthetase beta chain [EC:6.1.1.14]","Translation, ribosomal structure and biogenesis"
"MG_K01914","KO_coverage","aspartate--ammonia ligase [EC:6.3.1.1]","Amino acid transport and metabolism"
"MG_K01921","KO_coverage","D-alanine-D-alanine ligase [EC:6.3.2.4]","Cell wall/membrane/envelope biogenesis"
"MG_K01924","KO_coverage","UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]","Cell wall/membrane/envelope biogenesis"
"MG_K01925","KO_coverage","UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]","Cell wall/membrane/envelope biogenesis"
"MG_K01929","KO_coverage","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]","Cell wall/membrane/envelope biogenesis"
"MG_K01934","KO_coverage","5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]","Coenzyme transport and metabolism"
"MG_K01939","KO_coverage","adenylosuccinate synthase [EC:6.3.4.4]","Nucleotide transport and metabolism"
"MG_K01951","KO_coverage","GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]","Nucleotide transport and metabolism"
"MG_K01956","KO_coverage","carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]","Amino acid transport and metabolism"
"MG_K01962","KO_coverage","acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]","Lipid transport and metabolism"
"MG_K01963","KO_coverage","acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]","Lipid transport and metabolism"
"MG_K02012","KO_coverage","iron(III) transport system substrate-binding protein","Inorganic ion transport and metabolism"
"MG_K02013","KO_coverage","iron complex transport system ATP-binding protein [EC:7.2.2.-]","Inorganic ion transport and metabolism"
"MG_K02028","KO_coverage","polar amino acid transport system ATP-binding protein [EC:7.4.2.1]","Amino acid transport and metabolism"
"MG_K02029","KO_coverage","polar amino acid transport system permease protein","Amino acid transport and metabolism"
"MG_K02030","KO_coverage","polar amino acid transport system substrate-binding protein","Amino acid transport and metabolism"
"MG_K02031","KO_coverage","peptide/nickel transport system ATP-binding protein","Posttranslational modification, protein turnover, chaperones"
"MG_K02032","KO_coverage","peptide/nickel transport system ATP-binding protein","Posttranslational modification, protein turnover, chaperones"
"MG_K02034","KO_coverage","peptide/nickel transport system permease protein","Amino acid transport and metabolism"
"MG_K02035","KO_coverage","peptide/nickel transport system substrate-binding protein","Amino acid transport and metabolism"
"MG_K02037","KO_coverage","phosphate transport system permease protein","Inorganic ion transport and metabolism"
"MG_K02065","KO_coverage","phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein","Cell wall/membrane/envelope biogenesis"
"MG_K02066","KO_coverage","phospholipid/cholesterol/gamma-HCH transport system permease protein","Cell wall/membrane/envelope biogenesis"
"MG_K02067","KO_coverage","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","Cell wall/membrane/envelope biogenesis"
"MG_K02118","KO_coverage","V/A-type H+/Na+-transporting ATPase subunit B","Energy production and conversion"
"MG_K02119","KO_coverage","V/A-type H+/Na+-transporting ATPase subunit C","Energy production and conversion"
"MG_K02122","KO_coverage","V/A-type H+/Na+-transporting ATPase subunit F","Energy production and conversion"
"MG_K02123","KO_coverage","V/A-type H+/Na+-transporting ATPase subunit I","Energy production and conversion"
"MG_K02124","KO_coverage","V/A-type H+/Na+-transporting ATPase subunit K","Energy production and conversion"
"MG_K02242","KO_coverage","competence protein ComFC","General function prediction only"
"MG_K02335","KO_coverage","DNA polymerase I [EC:2.7.7.7]","Replication, recombination and repair"
"MG_K02372","KO_coverage","3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]","Lipid transport and metabolism"
"MG_K02377","KO_coverage","GDP-L-fucose synthase [EC:1.1.1.271]","Cell wall/membrane/envelope biogenesis"
"MG_K02385","KO_coverage","flagellar protein FlbD","Cell motility"
"MG_K02388","KO_coverage","flagellar basal-body rod protein FlgC","Cell motility"
"MG_K02389","KO_coverage","flagellar basal-body rod modification protein FlgD","Cell motility"
"MG_K02390","KO_coverage","flagellar hook protein FlgE","Cell motility"
"MG_K02392","KO_coverage","flagellar basal-body rod protein FlgG","Cell motility"
"MG_K02395","KO_coverage","peptidoglycan hydrolase FlgJ","Cell wall/membrane/envelope biogenesis"
"MG_K02396","KO_coverage","flagellar hook-associated protein 1","Cell motility"
"MG_K02398","KO_coverage","negative regulator of flagellin synthesis FlgM",NA
"MG_K02400","KO_coverage","flagellar biosynthesis protein FlhA","Cell motility"
"MG_K02401","KO_coverage","flagellar biosynthesis protein FlhB","Cell motility"
"MG_K02404","KO_coverage","flagellar biosynthesis protein FlhF","Cell motility"
"MG_K02405","KO_coverage","RNA polymerase sigma factor FliA","Transcription"
"MG_K02407","KO_coverage","flagellar hook-associated protein 2","Cell motility"
"MG_K02408","KO_coverage","flagellar hook-basal body complex protein FliE","Cell motility"
"MG_K02409","KO_coverage","flagellar M-ring protein FliF","Cell motility"
"MG_K02410","KO_coverage","flagellar motor switch protein FliG","Cell motility"
"MG_K02411","KO_coverage","flagellar assembly protein FliH","Cell motility"
"MG_K02412","KO_coverage","flagellum-specific ATP synthase [EC:7.4.2.8]","Cell motility"
"MG_K02414","KO_coverage","flagellar hook-length control protein FliK","Cell motility"
"MG_K02415","KO_coverage","flagellar protein FliL","Cell motility"
"MG_K02416","KO_coverage","flagellar motor switch protein FliM","Cell motility"
"MG_K02417","KO_coverage","flagellar motor switch protein FliN","Cell motility"
"MG_K02422","KO_coverage","flagellar secretion chaperone FliS","Cell motility"
"MG_K02493","KO_coverage","release factor glutamine methyltransferase [EC:2.1.1.297]","Translation, ribosomal structure and biogenesis"
"MG_K02556","KO_coverage","chemotaxis protein MotA","Cell motility"
"MG_K02557","KO_coverage","chemotaxis protein MotB","Cell motility"
"MG_K02563","KO_coverage","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]","Cell wall/membrane/envelope biogenesis"
"MG_K02761","KO_coverage","cellobiose PTS system EIIC component","Carbohydrate transport and metabolism"
"MG_K02770","KO_coverage","fructose PTS system EIIBC or EIIC component [EC:2.7.1.202]","Carbohydrate transport and metabolism"
"MG_K02822","KO_coverage","ascorbate PTS system EIIB component [EC:2.7.1.194]","Carbohydrate transport and metabolism"
"MG_K02860","KO_coverage","16S rRNA processing protein RimM","Translation, ribosomal structure and biogenesis"
"MG_K02897","KO_coverage","large subunit ribosomal protein L25","Translation, ribosomal structure and biogenesis"
"MG_K02939","KO_coverage","large subunit ribosomal protein L9","Translation, ribosomal structure and biogenesis"
"MG_K02945","KO_coverage","small subunit ribosomal protein S1","Translation, ribosomal structure and biogenesis"
"MG_K03046","KO_coverage","DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]","Transcription"
"MG_K03060","KO_coverage","DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]","Transcription"
"MG_K03075","KO_coverage","preprotein translocase subunit SecG","Intracellular trafficking, secretion, and vesicular transport"
"MG_K03076","KO_coverage","preprotein translocase subunit SecY","Intracellular trafficking, secretion, and vesicular transport"
"MG_K03088","KO_coverage","RNA polymerase sigma-70 factor, ECF subfamily","Transcription"
"MG_K03092","KO_coverage","RNA polymerase sigma-54 factor","Transcription"
"MG_K03100","KO_coverage","signal peptidase I [EC:3.4.21.89]","Intracellular trafficking, secretion, and vesicular transport"
"MG_K03177","KO_coverage","tRNA pseudouridine55 synthase [EC:5.4.99.25]","Translation, ribosomal structure and biogenesis"
"MG_K03210","KO_coverage","preprotein translocase subunit YajC","Intracellular trafficking, secretion, and vesicular transport"
"MG_K03215","KO_coverage","23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]","Translation, ribosomal structure and biogenesis"
"MG_K03292","KO_coverage","glycoside/pentoside/hexuronide:cation symporter, GPH family","Carbohydrate transport and metabolism"
"MG_K03303","KO_coverage","lactate permease","Energy production and conversion"
"MG_K03307","KO_coverage","solute:Na+ symporter, SSS family","Amino acid transport and metabolism"
"MG_K03308","KO_coverage","neurotransmitter:Na+ symporter, NSS family","General function prediction only"
"MG_K03310","KO_coverage","alanine or glycine:cation symporter, AGCS family","Amino acid transport and metabolism"
"MG_K03327","KO_coverage","multidrug resistance protein, MATE family","Defense mechanisms"
"MG_K03386","KO_coverage","peroxiredoxin 2/4 [EC:1.11.1.24]","Defense mechanisms"
"MG_K03387","KO_coverage","NADH-dependent peroxiredoxin subunit F [EC:1.8.1.-]","Defense mechanisms"
"MG_K03407","KO_coverage","two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]","Signal transduction mechanisms"
"MG_K03409","KO_coverage","chemotaxis protein CheX","Cell motility"
"MG_K03412","KO_coverage","two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]","Signal transduction mechanisms"
"MG_K03427","KO_coverage","type I restriction enzyme M protein [EC:2.1.1.72]","Defense mechanisms"
"MG_K03462","KO_coverage","nicotinamide phosphoribosyltransferase [EC:2.4.2.12]","Coenzyme transport and metabolism"
"MG_K03465","KO_coverage","thymidylate synthase (FAD) [EC:2.1.1.148]","Nucleotide transport and metabolism"
"MG_K03466","KO_coverage","DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family","Cell cycle control, cell division, chromosome partitioning"
"MG_K03474","KO_coverage","pyridoxine 5-phosphate synthase [EC:2.6.99.2]","Coenzyme transport and metabolism"
"MG_K03497","KO_coverage","ParB family transcriptional regulator, chromosome partitioning protein","Cell cycle control, cell division, chromosome partitioning"
"MG_K03523","KO_coverage","biotin transport system substrate-specific component","Coenzyme transport and metabolism"
"MG_K03544","KO_coverage","ATP-dependent Clp protease ATP-binding subunit ClpX","Posttranslational modification, protein turnover, chaperones"
"MG_K03558","KO_coverage","membrane protein required for colicin V production","Nucleotide transport and metabolism"
"MG_K03563","KO_coverage","carbon storage regulator","Signal transduction mechanisms"
"MG_K03565","KO_coverage","regulatory protein","Posttranslational modification, protein turnover, chaperones"
"MG_K03568","KO_coverage","TldD protein","General function prediction only"
"MG_K03569","KO_coverage","rod shape-determining protein MreB and related proteins","Cell cycle control, cell division, chromosome partitioning"
"MG_K03570","KO_coverage","rod shape-determining protein MreC","Cell cycle control, cell division, chromosome partitioning"
"MG_K03571","KO_coverage","rod shape-determining protein MreD","Cell wall/membrane/envelope biogenesis"
"MG_K03572","KO_coverage","DNA mismatch repair protein MutL","Replication, recombination and repair"
"MG_K03575","KO_coverage","A/G-specific adenine glycosylase [EC:3.2.2.31]","Replication, recombination and repair"
"MG_K03588","KO_coverage","cell division protein FtsW","Cell cycle control, cell division, chromosome partitioning"
"MG_K03589","KO_coverage","cell division protein FtsQ","Cell cycle control, cell division, chromosome partitioning"
"MG_K03593","KO_coverage","ATP-binding protein involved in chromosome partitioning","Cell cycle control, cell division, chromosome partitioning"
"MG_K03601","KO_coverage","exodeoxyribonuclease VII large subunit [EC:3.1.11.6]","Replication, recombination and repair"
"MG_K03613","KO_coverage","H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E","Energy production and conversion"
"MG_K03615","KO_coverage","H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C [EC:7.1.1.11 7.2.1.2]","Energy production and conversion"
"MG_K03628","KO_coverage","transcription termination factor Rho","Transcription"
"MG_K03629","KO_coverage","DNA replication and repair protein RecF","Replication, recombination and repair"
"MG_K03631","KO_coverage","DNA repair protein RecN (Recombination protein N)","Replication, recombination and repair"
"MG_K03634","KO_coverage","outer membrane lipoprotein carrier protein","Cell wall/membrane/envelope biogenesis"
"MG_K03655","KO_coverage","ATP-dependent DNA helicase RecG [EC:5.6.2.4]","Replication, recombination and repair"
"MG_K03665","KO_coverage","GTPase","Translation, ribosomal structure and biogenesis"
"MG_K03686","KO_coverage","molecular chaperone DnaJ","Posttranslational modification, protein turnover, chaperones"
"MG_K03699","KO_coverage","magnesium and cobalt exporter, CNNM family","General function prediction only"
"MG_K03722","KO_coverage","ATP-dependent DNA helicase DinG [EC:5.6.2.3]","Replication, recombination and repair"
"MG_K03723","KO_coverage","transcription-repair coupling factor (superfamily II helicase) [EC:5.6.2.4]","Replication, recombination and repair"
"MG_K03734","KO_coverage","FAD:protein FMN transferase [EC:2.7.1.180]","Coenzyme transport and metabolism"
"MG_K03737","KO_coverage","pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]","Energy production and conversion"
"MG_K03768","KO_coverage","peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]","Posttranslational modification, protein turnover, chaperones"
"MG_K03783","KO_coverage","purine-nucleoside phosphorylase [EC:2.4.2.1]","Nucleotide transport and metabolism"
"MG_K03787","KO_coverage","5'/3'-nucleotidase [EC:3.1.3.5 3.1.3.6]","Replication, recombination and repair"
"MG_K03797","KO_coverage","carboxyl-terminal processing protease [EC:3.4.21.102]","Posttranslational modification, protein turnover, chaperones"
"MG_K03798","KO_coverage","cell division protease FtsH [EC:3.4.24.-]","Posttranslational modification, protein turnover, chaperones"
"MG_K03811","KO_coverage","nicotinamide mononucleotide transporter","Coenzyme transport and metabolism"
"MG_K03816","KO_coverage","xanthine phosphoribosyltransferase [EC:2.4.2.22]","Nucleotide transport and metabolism"
"MG_K03820","KO_coverage","apolipoprotein N-acyltransferase [EC:2.3.1.269]","Cell wall/membrane/envelope biogenesis"
"MG_K03892","KO_coverage","ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor","Transcription"
"MG_K03924","KO_coverage","MoxR-like ATPase [EC:3.6.3.-]","General function prediction only"
"MG_K04032","KO_coverage","ethanolamine utilization cobalamin adenosyltransferase [EC:2.5.1.154]","Amino acid transport and metabolism"
"MG_K04066","KO_coverage","primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:5.6.2.4]","Replication, recombination and repair"
"MG_K04077","KO_coverage","chaperonin GroEL [EC:5.6.1.7]","Posttranslational modification, protein turnover, chaperones"
"MG_K04078","KO_coverage","chaperonin GroES","Posttranslational modification, protein turnover, chaperones"
"MG_K04485","KO_coverage","DNA repair protein RadA/Sms","Replication, recombination and repair"
"MG_K04487","KO_coverage","cysteine desulfurase [EC:2.8.1.7]","Amino acid transport and metabolism"
"MG_K04488","KO_coverage","nitrogen fixation protein NifU and related proteins","Posttranslational modification, protein turnover, chaperones"
"MG_K04562","KO_coverage","flagellar biosynthesis protein FlhG","Cell cycle control, cell division, chromosome partitioning"
"MG_K04564","KO_coverage","superoxide dismutase, Fe-Mn family [EC:1.15.1.1]","Inorganic ion transport and metabolism"
"MG_K04565","KO_coverage","superoxide dismutase, Cu-Zn family [EC:1.15.1.1]","Inorganic ion transport and metabolism"
"MG_K04762","KO_coverage","ribosome-associated heat shock protein Hsp15","Translation, ribosomal structure and biogenesis"
"MG_K04771","KO_coverage","serine protease Do [EC:3.4.21.107]","Posttranslational modification, protein turnover, chaperones"
